round_epochs,loss,acc,val_loss,val_acc,activation1,activation2,activation3,activation4,dropout,optimizer
30,0.03449051082134247,0.9900000095367432,1.2520925998687744,0.5625,relu,relu,relu,relu,0.1,adam
30,0.5631334185600281,0.7200000286102295,0.8010995388031006,0.5,relu,relu,relu,relu,0.1,sgd
30,0.09680697321891785,0.9700000286102295,1.052356243133545,0.6875,relu,relu,relu,relu,0.3,adam
30,0.5653010010719299,0.7200000286102295,0.7286792993545532,0.5,relu,relu,relu,relu,0.3,sgd
30,0.17489942908287048,0.925000011920929,1.923404574394226,0.5625,relu,relu,relu,relu,0.5,adam
30,0.5495600700378418,0.7200000286102295,0.7250545024871826,0.5,relu,relu,relu,relu,0.5,sgd
30,0.007314115762710571,1.0,1.8300951719284058,0.6875,relu,relu,relu,tanh,0.1,adam
30,0.5238085985183716,0.7200000286102295,0.860629677772522,0.5,relu,relu,relu,tanh,0.1,sgd
30,0.005423165392130613,1.0,2.070486068725586,0.5625,relu,relu,relu,tanh,0.3,adam
30,0.5384570956230164,0.7200000286102295,0.7021887898445129,0.5,relu,relu,relu,tanh,0.3,sgd
30,0.02315601147711277,1.0,1.2092840671539307,0.6875,relu,relu,relu,tanh,0.5,adam
30,0.5626401305198669,0.7250000238418579,0.7643976211547852,0.5,relu,relu,relu,tanh,0.5,sgd
30,0.016393586993217468,0.9950000047683716,2.2866430282592773,0.625,relu,relu,tanh,relu,0.1,adam
30,0.5394282937049866,0.7200000286102295,0.7301473617553711,0.5,relu,relu,tanh,relu,0.1,sgd
30,0.016214599832892418,1.0,0.966520369052887,0.75,relu,relu,tanh,relu,0.3,adam
30,0.5588005185127258,0.7200000286102295,0.7368730306625366,0.5,relu,relu,tanh,relu,0.3,sgd
30,0.04028801992535591,0.9900000095367432,1.3055323362350464,0.75,relu,relu,tanh,relu,0.5,adam
30,0.576130211353302,0.7250000238418579,0.6903895139694214,0.5,relu,relu,tanh,relu,0.5,sgd
30,0.007813595235347748,1.0,1.4267189502716064,0.625,relu,relu,tanh,tanh,0.1,adam
30,0.5011988878250122,0.7599999904632568,0.7558679580688477,0.5,relu,relu,tanh,tanh,0.1,sgd
30,0.012668845243752003,1.0,1.3154370784759521,0.75,relu,relu,tanh,tanh,0.3,adam
30,0.5290089249610901,0.7200000286102295,0.6450581550598145,0.75,relu,relu,tanh,tanh,0.3,sgd
30,0.011903145350515842,1.0,1.4847614765167236,0.625,relu,relu,tanh,tanh,0.5,adam
30,0.5688583254814148,0.7250000238418579,0.6893320083618164,0.5,relu,relu,tanh,tanh,0.5,sgd
30,0.06009076163172722,0.9850000143051147,1.1312284469604492,0.6875,relu,tanh,relu,relu,0.1,adam
30,0.5655937194824219,0.7200000286102295,0.7084688544273376,0.5,relu,tanh,relu,relu,0.1,sgd
30,0.0625840350985527,0.9800000190734863,0.9757425785064697,0.75,relu,tanh,relu,relu,0.3,adam
30,0.5188404321670532,0.7250000238418579,0.7077741622924805,0.5,relu,tanh,relu,relu,0.3,sgd
30,0.16285063326358795,0.925000011920929,2.8264801502227783,0.5625,relu,tanh,relu,relu,0.5,adam
30,0.5474194884300232,0.7200000286102295,0.8126887083053589,0.5,relu,tanh,relu,relu,0.5,sgd
30,0.00615064799785614,1.0,0.8924578428268433,0.75,relu,tanh,relu,tanh,0.1,adam
30,0.5251840353012085,0.7200000286102295,0.8485593795776367,0.5,relu,tanh,relu,tanh,0.1,sgd
30,0.02039770781993866,0.9950000047683716,0.9853454828262329,0.625,relu,tanh,relu,tanh,0.3,adam
30,0.5363611578941345,0.7350000143051147,0.7897488474845886,0.5,relu,tanh,relu,tanh,0.3,sgd
30,0.068162702023983,0.9700000286102295,1.3980178833007812,0.625,relu,tanh,relu,tanh,0.5,adam
30,0.5367612242698669,0.75,0.734602689743042,0.5625,relu,tanh,relu,tanh,0.5,sgd
30,0.01775234378874302,1.0,1.0901074409484863,0.75,relu,tanh,tanh,relu,0.1,adam
30,0.5304805636405945,0.7200000286102295,0.7663717269897461,0.5,relu,tanh,tanh,relu,0.1,sgd
30,0.020057260990142822,1.0,1.1316208839416504,0.75,relu,tanh,tanh,relu,0.3,adam
30,0.55815190076828,0.7200000286102295,0.8289049863815308,0.5,relu,tanh,tanh,relu,0.3,sgd
30,0.05575990304350853,0.9800000190734863,1.4090759754180908,0.6875,relu,tanh,tanh,relu,0.5,adam
30,0.4986129403114319,0.7450000047683716,0.8718757629394531,0.5,relu,tanh,tanh,relu,0.5,sgd
30,0.005222650244832039,1.0,1.0862860679626465,0.75,relu,tanh,tanh,tanh,0.1,adam
30,0.4636596441268921,0.7350000143051147,0.6493521928787231,0.625,relu,tanh,tanh,tanh,0.1,sgd
30,0.011960046365857124,1.0,1.19747793674469,0.6875,relu,tanh,tanh,tanh,0.3,adam
30,0.46153977513313293,0.7549999952316284,0.6838169693946838,0.625,relu,tanh,tanh,tanh,0.3,sgd
30,0.013975152745842934,1.0,0.8855478167533875,0.75,relu,tanh,tanh,tanh,0.5,adam
30,0.5084238648414612,0.7549999952316284,0.6698166131973267,0.625,relu,tanh,tanh,tanh,0.5,sgd
30,0.07463152706623077,0.9750000238418579,1.1662981510162354,0.75,tanh,relu,relu,relu,0.1,adam
30,0.49745985865592957,0.7450000047683716,0.81980961561203,0.5,tanh,relu,relu,relu,0.1,sgd
30,0.1036464050412178,0.9599999785423279,1.1324691772460938,0.6875,tanh,relu,relu,relu,0.3,adam
30,0.5621612668037415,0.7200000286102295,0.7474181652069092,0.5,tanh,relu,relu,relu,0.3,sgd
30,0.10822746902704239,0.9750000238418579,2.367356061935425,0.5625,tanh,relu,relu,relu,0.5,adam
30,0.5551348328590393,0.7400000095367432,0.7231890559196472,0.5,tanh,relu,relu,relu,0.5,sgd
30,0.005643718410283327,1.0,1.5978792905807495,0.625,tanh,relu,relu,tanh,0.1,adam
30,0.5080358386039734,0.7400000095367432,0.9519909620285034,0.5,tanh,relu,relu,tanh,0.1,sgd
30,0.13830406963825226,0.9150000214576721,0.37040501832962036,0.8125,tanh,relu,relu,tanh,0.3,adam
30,0.5470260977745056,0.6700000166893005,0.7110650539398193,0.5625,tanh,relu,relu,tanh,0.3,sgd
30,0.09327328950166702,0.9649999737739563,1.736290693283081,0.625,tanh,relu,relu,tanh,0.5,adam
