round_epochs,loss,acc,val_loss,val_acc,activation1,activation2,activation3,activation4,dropout,optimizer
30,0.12921038269996643,0.9449999928474426,0.8235853314399719,0.6875,relu,relu,relu,relu,0.1,adam
30,0.534827709197998,0.7250000238418579,0.822982668876648,0.5,relu,relu,relu,relu,0.1,sgd
30,0.10152994841337204,0.9649999737739563,1.5486969947814941,0.625,relu,relu,relu,relu,0.3,adam
30,0.5469157099723816,0.7250000238418579,0.7556540369987488,0.5,relu,relu,relu,relu,0.3,sgd
30,0.20173749327659607,0.9300000071525574,0.5620126724243164,0.6875,relu,relu,relu,relu,0.5,adam
30,0.5220692753791809,0.7350000143051147,0.7505682706832886,0.5,relu,relu,relu,relu,0.5,sgd
30,0.04201291501522064,0.9900000095367432,1.9584581851959229,0.5625,relu,relu,relu,tanh,0.1,adam
30,0.5655670166015625,0.7200000286102295,0.7532925009727478,0.5,relu,relu,relu,tanh,0.1,sgd
30,0.008110838942229748,1.0,1.2771997451782227,0.6875,relu,relu,relu,tanh,0.3,adam
30,0.5000542998313904,0.7549999952316284,0.7803486585617065,0.5,relu,relu,relu,tanh,0.3,sgd
30,0.015821274369955063,1.0,1.1839709281921387,0.6875,relu,relu,relu,tanh,0.5,adam
30,0.541181743144989,0.7200000286102295,0.8060214519500732,0.5,relu,relu,relu,tanh,0.5,sgd
30,0.032005827873945236,0.9900000095367432,0.8232608437538147,0.75,relu,relu,tanh,relu,0.1,adam
30,0.5284410119056702,0.7200000286102295,0.7536666393280029,0.5,relu,relu,tanh,relu,0.1,sgd
30,0.04211835935711861,0.9950000047683716,0.7935507297515869,0.8125,relu,relu,tanh,relu,0.3,adam
30,0.5209336876869202,0.7400000095367432,0.7891386151313782,0.5,relu,relu,tanh,relu,0.3,sgd
30,0.04984019696712494,0.9900000095367432,0.65190589427948,0.75,relu,relu,tanh,relu,0.5,adam
30,0.5518289804458618,0.7200000286102295,0.7403245568275452,0.5,relu,relu,tanh,relu,0.5,sgd
30,0.00786818377673626,1.0,0.5685157775878906,0.8125,relu,relu,tanh,tanh,0.1,adam
30,0.4246939420700073,0.7850000262260437,1.639463186264038,0.5,relu,relu,tanh,tanh,0.1,sgd
30,0.01052912324666977,1.0,0.9264193773269653,0.75,relu,relu,tanh,tanh,0.3,adam
30,0.46181055903434753,0.7900000214576721,0.6672221422195435,0.625,relu,relu,tanh,tanh,0.3,sgd
30,0.012573398649692535,1.0,0.826900839805603,0.75,relu,relu,tanh,tanh,0.5,adam
30,0.42277514934539795,0.8299999833106995,0.6537661552429199,0.625,relu,relu,tanh,tanh,0.5,sgd
30,0.024538729339838028,0.9950000047683716,0.5742302536964417,0.75,relu,tanh,relu,relu,0.1,adam
30,0.47522804141044617,0.7450000047683716,0.6469473838806152,0.625,relu,tanh,relu,relu,0.1,sgd
30,0.059899892657995224,0.9750000238418579,0.9330992102622986,0.6875,relu,tanh,relu,relu,0.3,adam
30,0.5245215892791748,0.7400000095367432,0.7567000389099121,0.5,relu,tanh,relu,relu,0.3,sgd
30,0.10243690758943558,0.9549999833106995,0.5712127685546875,0.75,relu,tanh,relu,relu,0.5,adam
30,0.5329592227935791,0.7200000286102295,0.8064388036727905,0.5,relu,tanh,relu,relu,0.5,sgd
30,0.006710432935506105,1.0,0.9465385675430298,0.625,relu,tanh,relu,tanh,0.1,adam
30,0.4923704266548157,0.7649999856948853,0.6844949722290039,0.625,relu,tanh,relu,tanh,0.1,sgd
30,0.004744520410895348,1.0,0.7198359966278076,0.75,relu,tanh,relu,tanh,0.3,adam
30,0.4832639992237091,0.7549999952316284,0.6698722243309021,0.625,relu,tanh,relu,tanh,0.3,sgd
30,0.007420739158987999,1.0,1.149925708770752,0.625,relu,tanh,relu,tanh,0.5,adam
