round_epochs,loss,acc,val_loss,val_acc,activation1,activation2,activation3,activation4,dropout,optimizer
30,0.08928415179252625,0.9599999785423279,0.4464321732521057,0.6875,relu,relu,relu,relu,0.1,adam
30,0.5289551615715027,0.7450000047683716,0.7399767637252808,0.5,relu,relu,relu,relu,0.1,sgd
30,0.05874715372920036,0.9850000143051147,2.0589263439178467,0.5625,relu,relu,relu,relu,0.3,adam
30,0.5596074461936951,0.7450000047683716,0.8337996006011963,0.5,relu,relu,relu,relu,0.3,sgd
30,0.11659679561853409,0.9599999785423279,0.8944001197814941,0.75,relu,relu,relu,relu,0.5,adam
30,0.553260087966919,0.7450000047683716,0.8416444063186646,0.5,relu,relu,relu,relu,0.5,sgd
30,0.02566458284854889,0.9950000047683716,0.7020403742790222,0.8125,relu,relu,relu,tanh,0.1,adam
30,0.49273765087127686,0.75,0.7365540266036987,0.5,relu,relu,relu,tanh,0.1,sgd
30,0.052725762128829956,0.9850000143051147,1.3747684955596924,0.5625,relu,relu,relu,tanh,0.3,adam
30,0.5397033095359802,0.7450000047683716,0.7525715827941895,0.5,relu,relu,relu,tanh,0.3,sgd
30,0.06359733641147614,0.9700000286102295,1.4116371870040894,0.625,relu,relu,relu,tanh,0.5,adam
30,0.5494831204414368,0.7549999952316284,0.8124140501022339,0.5,relu,relu,relu,tanh,0.5,sgd
30,0.015556177124381065,0.9950000047683716,0.6418785452842712,0.8125,relu,relu,tanh,relu,0.1,adam
30,0.524747371673584,0.7450000047683716,0.7289113998413086,0.5,relu,relu,tanh,relu,0.1,sgd
30,0.04558369517326355,0.9900000095367432,0.3559632897377014,0.9375,relu,relu,tanh,relu,0.3,adam
30,0.543856680393219,0.7450000047683716,0.8547138571739197,0.5,relu,relu,tanh,relu,0.3,sgd
30,0.12407813966274261,0.949999988079071,0.3968254327774048,0.875,relu,relu,tanh,relu,0.5,adam
30,0.5380826592445374,0.7450000047683716,0.7354608774185181,0.5,relu,relu,tanh,relu,0.5,sgd
30,0.02425093576312065,0.9950000047683716,1.2938750982284546,0.625,relu,relu,tanh,tanh,0.1,adam
30,0.4958682656288147,0.7400000095367432,0.6658182740211487,0.625,relu,relu,tanh,tanh,0.1,sgd
30,0.00970020517706871,1.0,0.7539265751838684,0.75,relu,relu,tanh,tanh,0.3,adam
30,0.49618232250213623,0.7450000047683716,0.9177253246307373,0.5,relu,relu,tanh,tanh,0.3,sgd
30,0.01209055446088314,1.0,0.9148968458175659,0.625,relu,relu,tanh,tanh,0.5,adam
30,0.5054196119308472,0.7599999904632568,0.8604216575622559,0.5,relu,relu,tanh,tanh,0.5,sgd
30,0.1082305982708931,0.9599999785423279,0.7636967897415161,0.8125,relu,tanh,relu,relu,0.1,adam
30,0.5394781231880188,0.7450000047683716,0.7094318866729736,0.5,relu,tanh,relu,relu,0.1,sgd
30,0.13565225899219513,0.9350000023841858,0.7889947891235352,0.75,relu,tanh,relu,relu,0.3,adam
30,0.5422914624214172,0.7450000047683716,0.7482145428657532,0.5,relu,tanh,relu,relu,0.3,sgd
30,0.17405587434768677,0.9399999976158142,0.7265390157699585,0.75,relu,tanh,relu,relu,0.5,adam
30,0.5514554381370544,0.7400000095367432,0.8854979276657104,0.5,relu,tanh,relu,relu,0.5,sgd
30,0.01790526509284973,1.0,0.9288345575332642,0.625,relu,tanh,relu,tanh,0.1,adam
30,0.486907422542572,0.7450000047683716,0.8297248482704163,0.5,relu,tanh,relu,tanh,0.1,sgd
30,0.08818583190441132,0.9649999737739563,0.42839622497558594,0.875,relu,tanh,relu,tanh,0.3,adam
30,0.4755691587924957,0.7649999856948853,0.944200873374939,0.5,relu,tanh,relu,tanh,0.3,sgd
30,0.00969457533210516,1.0,1.3961553573608398,0.5625,relu,tanh,relu,tanh,0.5,adam
30,0.5075615048408508,0.7450000047683716,0.7079482078552246,0.5,relu,tanh,relu,tanh,0.5,sgd
30,0.02211211994290352,0.9950000047683716,1.072188377380371,0.6875,relu,tanh,tanh,relu,0.1,adam
30,0.45151251554489136,0.7699999809265137,0.7574682235717773,0.625,relu,tanh,tanh,relu,0.1,sgd
30,0.0383511558175087,0.9800000190734863,0.7265918850898743,0.8125,relu,tanh,tanh,relu,0.3,adam
30,0.49266132712364197,0.7450000047683716,0.7966214418411255,0.5,relu,tanh,tanh,relu,0.3,sgd
30,0.07614358514547348,0.9750000238418579,0.6432279348373413,0.8125,relu,tanh,tanh,relu,0.5,adam
30,0.5401125550270081,0.7400000095367432,0.7685766220092773,0.5,relu,tanh,tanh,relu,0.5,sgd
30,0.005525527056306601,1.0,0.9295244216918945,0.75,relu,tanh,tanh,tanh,0.1,adam
30,0.4429275393486023,0.8100000023841858,0.8915237784385681,0.5,relu,tanh,tanh,tanh,0.1,sgd
30,0.007289595436304808,1.0,0.7293634414672852,0.8125,relu,tanh,tanh,tanh,0.3,adam
30,0.4248989522457123,0.7950000166893005,0.9866412878036499,0.5,relu,tanh,tanh,tanh,0.3,sgd
30,0.03855563700199127,0.9900000095367432,0.4040166139602661,0.875,relu,tanh,tanh,tanh,0.5,adam
30,0.4699893593788147,0.7649999856948853,1.0731091499328613,0.5,relu,tanh,tanh,tanh,0.5,sgd
30,0.15564119815826416,0.9350000023841858,1.075339674949646,0.75,tanh,relu,relu,relu,0.1,adam
30,0.47098568081855774,0.7549999952316284,0.6597599387168884,0.625,tanh,relu,relu,relu,0.1,sgd
30,0.14656896889209747,0.9649999737739563,1.036306619644165,0.75,tanh,relu,relu,relu,0.3,adam
30,0.5303330421447754,0.7450000047683716,0.7462055683135986,0.5,tanh,relu,relu,relu,0.3,sgd
30,0.14813077449798584,0.949999988079071,0.5467193126678467,0.8125,tanh,relu,relu,relu,0.5,adam
30,0.5502330660820007,0.7450000047683716,0.7959675788879395,0.5,tanh,relu,relu,relu,0.5,sgd
30,0.023853549733757973,1.0,1.3321752548217773,0.75,tanh,relu,relu,tanh,0.1,adam
30,0.4953858554363251,0.7599999904632568,1.089036464691162,0.5,tanh,relu,relu,tanh,0.1,sgd
30,0.036432430148124695,0.9900000095367432,1.215700387954712,0.625,tanh,relu,relu,tanh,0.3,adam
30,0.5184879302978516,0.7699999809265137,0.7323049306869507,0.5625,tanh,relu,relu,tanh,0.3,sgd
30,0.08987383544445038,0.9700000286102295,0.6272738575935364,0.8125,tanh,relu,relu,tanh,0.5,adam
30,0.5209060311317444,0.7699999809265137,0.9354323744773865,0.5,tanh,relu,relu,tanh,0.5,sgd
30,0.03569842875003815,0.9850000143051147,0.6301661133766174,0.8125,tanh,relu,tanh,relu,0.1,adam
30,0.5256670117378235,0.7450000047683716,0.6775858402252197,0.625,tanh,relu,tanh,relu,0.1,sgd
30,0.041196394711732864,0.9900000095367432,0.7876194715499878,0.8125,tanh,relu,tanh,relu,0.3,adam
30,0.5144696235656738,0.7450000047683716,0.7252429723739624,0.5,tanh,relu,tanh,relu,0.3,sgd
30,0.10060901939868927,0.9649999737739563,0.796057403087616,0.8125,tanh,relu,tanh,relu,0.5,adam
30,0.5040767788887024,0.7599999904632568,0.7914078831672668,0.5,tanh,relu,tanh,relu,0.5,sgd
30,0.014419922605156898,1.0,0.9371727705001831,0.75,tanh,relu,tanh,tanh,0.1,adam
30,0.4486909806728363,0.7649999856948853,0.9480260610580444,0.5,tanh,relu,tanh,tanh,0.1,sgd
30,0.024649005383253098,0.9950000047683716,0.9350094199180603,0.6875,tanh,relu,tanh,tanh,0.3,adam
30,0.4625914394855499,0.7749999761581421,0.7560932636260986,0.5625,tanh,relu,tanh,tanh,0.3,sgd
30,0.08410470932722092,0.9700000286102295,0.4716019332408905,0.8125,tanh,relu,tanh,tanh,0.5,adam
30,0.4790300130844116,0.7649999856948853,0.8998523950576782,0.5,tanh,relu,tanh,tanh,0.5,sgd
30,0.057087983936071396,0.9800000190734863,0.8223110437393188,0.8125,tanh,tanh,relu,relu,0.1,adam
30,0.5177731513977051,0.7450000047683716,0.7772267460823059,0.5,tanh,tanh,relu,relu,0.1,sgd
30,0.07482558488845825,0.9800000190734863,1.236938238143921,0.5625,tanh,tanh,relu,relu,0.3,adam
30,0.5354260802268982,0.7450000047683716,0.7753541469573975,0.5,tanh,tanh,relu,relu,0.3,sgd
30,0.113115593791008,0.9649999737739563,1.0087436437606812,0.5625,tanh,tanh,relu,relu,0.5,adam
30,0.5236279964447021,0.7400000095367432,0.6963757872581482,0.5,tanh,tanh,relu,relu,0.5,sgd
30,0.02473975345492363,1.0,0.598400354385376,0.8125,tanh,tanh,relu,tanh,0.1,adam
30,0.45890355110168457,0.7799999713897705,0.6248819828033447,0.625,tanh,tanh,relu,tanh,0.1,sgd
30,0.03214890882372856,1.0,0.6023918986320496,0.8125,tanh,tanh,relu,tanh,0.3,adam
30,0.4479677975177765,0.7699999809265137,0.7726705074310303,0.625,tanh,tanh,relu,tanh,0.3,sgd
30,0.02061072178184986,1.0,0.567362904548645,0.8125,tanh,tanh,relu,tanh,0.5,adam
30,0.4738040566444397,0.7599999904632568,0.7377419471740723,0.5625,tanh,tanh,relu,tanh,0.5,sgd
30,0.026910720393061638,0.9950000047683716,0.8963055610656738,0.75,tanh,tanh,tanh,relu,0.1,adam
30,0.40056782960891724,0.824999988079071,0.8515207171440125,0.625,tanh,tanh,tanh,relu,0.1,sgd
30,0.03033081814646721,0.9900000095367432,0.7985977530479431,0.8125,tanh,tanh,tanh,relu,0.3,adam
30,0.481933057308197,0.7649999856948853,0.7873563766479492,0.5625,tanh,tanh,tanh,relu,0.3,sgd
30,0.05809266120195389,0.9750000238418579,0.9078423976898193,0.8125,tanh,tanh,tanh,relu,0.5,adam
30,0.4667516350746155,0.800000011920929,0.728873610496521,0.625,tanh,tanh,tanh,relu,0.5,sgd
30,0.01595410704612732,1.0,0.6376911997795105,0.875,tanh,tanh,tanh,tanh,0.1,adam
30,0.4330129325389862,0.7850000262260437,1.0261223316192627,0.5,tanh,tanh,tanh,tanh,0.1,sgd
