round_epochs,loss,acc,val_loss,val_acc,activation1,activation2,activation3,activation4,dropout,optimizer
30,0.11061637848615646,0.9599999785423279,0.9915152788162231,0.6875,relu,relu,relu,relu,0.1,adam
30,0.5295864343643188,0.7549999952316284,0.8329426646232605,0.5,relu,relu,relu,relu,0.1,sgd
30,0.24900726974010468,0.925000011920929,1.006678581237793,0.625,relu,relu,relu,relu,0.3,adam
30,0.5214526653289795,0.7549999952316284,0.8735866546630859,0.5,relu,relu,relu,relu,0.3,sgd
30,0.1609872430562973,0.9350000023841858,1.5620923042297363,0.6875,relu,relu,relu,relu,0.5,adam
30,0.5579794049263,0.7549999952316284,0.8316874504089355,0.5,relu,relu,relu,relu,0.5,sgd
30,0.007986888289451599,1.0,1.9968280792236328,0.6875,relu,relu,relu,tanh,0.1,adam
30,0.5451914072036743,0.7549999952316284,0.8146587610244751,0.5,relu,relu,relu,tanh,0.1,sgd
30,0.054194558411836624,0.9800000190734863,1.4122227430343628,0.75,relu,relu,relu,tanh,0.3,adam
30,0.5286165475845337,0.7549999952316284,0.6869240999221802,0.5,relu,relu,relu,tanh,0.3,sgd
30,0.01861666515469551,1.0,1.3963594436645508,0.5625,relu,relu,relu,tanh,0.5,adam
30,0.5268199443817139,0.7599999904632568,0.8295408487319946,0.5,relu,relu,relu,tanh,0.5,sgd
30,0.017730774357914925,1.0,1.6293644905090332,0.6875,relu,relu,tanh,relu,0.1,adam
30,0.45266616344451904,0.7950000166893005,0.8692176938056946,0.5,relu,relu,tanh,relu,0.1,sgd
30,0.04504023492336273,0.9800000190734863,1.1182422637939453,0.6875,relu,relu,tanh,relu,0.3,adam
30,0.520155668258667,0.7549999952316284,0.8465503454208374,0.5,relu,relu,tanh,relu,0.3,sgd
30,0.048013340681791306,0.9750000238418579,1.4986521005630493,0.6875,relu,relu,tanh,relu,0.5,adam
30,0.5231245160102844,0.7599999904632568,0.8089103102684021,0.5,relu,relu,tanh,relu,0.5,sgd
30,0.0017578877741470933,1.0,1.529371976852417,0.6875,relu,relu,tanh,tanh,0.1,adam
30,0.440388947725296,0.7850000262260437,0.7570635080337524,0.625,relu,relu,tanh,tanh,0.1,sgd
30,0.006073007360100746,1.0,1.1563353538513184,0.6875,relu,relu,tanh,tanh,0.3,adam
30,0.4664500951766968,0.8149999976158142,0.7448728084564209,0.625,relu,relu,tanh,tanh,0.3,sgd
30,0.02566639892756939,0.9950000047683716,1.2778656482696533,0.6875,relu,relu,tanh,tanh,0.5,adam
30,0.5057050585746765,0.7549999952316284,0.7954862117767334,0.5,relu,relu,tanh,tanh,0.5,sgd
30,0.0313410684466362,1.0,1.64229154586792,0.6875,relu,tanh,relu,relu,0.1,adam
30,0.5207919478416443,0.7549999952316284,0.8212395906448364,0.5,relu,tanh,relu,relu,0.1,sgd
30,0.0414559468626976,0.9900000095367432,1.7498037815093994,0.5,relu,tanh,relu,relu,0.3,adam
30,0.4982329308986664,0.7549999952316284,1.069234848022461,0.5,relu,tanh,relu,relu,0.3,sgd
30,0.12279986590147018,0.9300000071525574,0.7664281129837036,0.5625,relu,tanh,relu,relu,0.5,adam
30,0.5438598990440369,0.7599999904632568,0.7841939926147461,0.5,relu,tanh,relu,relu,0.5,sgd
30,0.015408046543598175,1.0,1.4464802742004395,0.6875,relu,tanh,relu,tanh,0.1,adam
30,0.4724557399749756,0.7749999761581421,0.7696220874786377,0.5,relu,tanh,relu,tanh,0.1,sgd
30,0.010931376367807388,1.0,1.5263073444366455,0.6875,relu,tanh,relu,tanh,0.3,adam
30,0.4647625684738159,0.7599999904632568,0.6286524534225464,0.625,relu,tanh,relu,tanh,0.3,sgd
30,0.02722012810409069,1.0,1.4046308994293213,0.6875,relu,tanh,relu,tanh,0.5,adam
30,0.5029953122138977,0.7649999856948853,0.9429420828819275,0.5,relu,tanh,relu,tanh,0.5,sgd
30,0.015748780220746994,1.0,1.0197758674621582,0.75,relu,tanh,tanh,relu,0.1,adam
30,0.4879493713378906,0.7649999856948853,0.7996117472648621,0.5,relu,tanh,tanh,relu,0.1,sgd
30,0.06611786037683487,0.9750000238418579,1.0718433856964111,0.6875,relu,tanh,tanh,relu,0.3,adam
30,0.4729844033718109,0.7599999904632568,0.6743863224983215,0.625,relu,tanh,tanh,relu,0.3,sgd
30,0.05998432636260986,0.9700000286102295,1.3317490816116333,0.6875,relu,tanh,tanh,relu,0.5,adam
30,0.4725053906440735,0.7649999856948853,0.8915930390357971,0.5,relu,tanh,tanh,relu,0.5,sgd
30,0.0037229007575660944,1.0,1.6179053783416748,0.75,relu,tanh,tanh,tanh,0.1,adam
30,0.42126578092575073,0.824999988079071,1.0067068338394165,0.5,relu,tanh,tanh,tanh,0.1,sgd
30,0.00562448101118207,1.0,1.4369924068450928,0.75,relu,tanh,tanh,tanh,0.3,adam
30,0.4375046491622925,0.7799999713897705,1.1496257781982422,0.5,relu,tanh,tanh,tanh,0.3,sgd
30,0.03278813511133194,0.9900000095367432,0.8453335762023926,0.75,relu,tanh,tanh,tanh,0.5,adam
30,0.4275675117969513,0.7950000166893005,0.8409560918807983,0.625,relu,tanh,tanh,tanh,0.5,sgd
30,0.0786019116640091,0.9750000238418579,1.5652379989624023,0.6875,tanh,relu,relu,relu,0.1,adam
30,0.47048473358154297,0.7649999856948853,1.1256506443023682,0.5,tanh,relu,relu,relu,0.1,sgd
30,0.13000524044036865,0.949999988079071,1.1788055896759033,0.6875,tanh,relu,relu,relu,0.3,adam
30,0.5153692364692688,0.7549999952316284,0.7765878438949585,0.5,tanh,relu,relu,relu,0.3,sgd
30,0.09889080375432968,0.9850000143051147,0.8014850616455078,0.75,tanh,relu,relu,relu,0.5,adam
30,0.5239496231079102,0.7549999952316284,0.7733087539672852,0.5,tanh,relu,relu,relu,0.5,sgd
30,0.029732126742601395,0.9950000047683716,0.9988309144973755,0.75,tanh,relu,relu,tanh,0.1,adam
30,0.4765571653842926,0.7549999952316284,0.776752233505249,0.5,tanh,relu,relu,tanh,0.1,sgd
30,0.05907009541988373,0.9750000238418579,1.0738537311553955,0.8125,tanh,relu,relu,tanh,0.3,adam
30,0.5115005373954773,0.7599999904632568,0.8898687958717346,0.5,tanh,relu,relu,tanh,0.3,sgd
30,0.03909004479646683,0.9850000143051147,0.744343101978302,0.6875,tanh,relu,relu,tanh,0.5,adam
30,0.5037440061569214,0.7649999856948853,0.8377537727355957,0.5,tanh,relu,relu,tanh,0.5,sgd
30,0.006495222914963961,1.0,1.8048598766326904,0.75,tanh,relu,tanh,relu,0.1,adam
30,0.5010859966278076,0.7549999952316284,0.7945948839187622,0.5,tanh,relu,tanh,relu,0.1,sgd
30,0.06679525971412659,0.9800000190734863,0.7849559783935547,0.75,tanh,relu,tanh,relu,0.3,adam
30,0.5242382287979126,0.7549999952316284,0.8778904676437378,0.5,tanh,relu,tanh,relu,0.3,sgd
30,0.10455302894115448,0.9750000238418579,1.8360159397125244,0.6875,tanh,relu,tanh,relu,0.5,adam
30,0.49201175570487976,0.7699999809265137,0.7923332452774048,0.5,tanh,relu,tanh,relu,0.5,sgd
30,0.011719813570380211,1.0,1.0619722604751587,0.75,tanh,relu,tanh,tanh,0.1,adam
30,0.39942947030067444,0.8149999976158142,0.8378442525863647,0.625,tanh,relu,tanh,tanh,0.1,sgd
30,0.0054582213051617146,1.0,1.4691390991210938,0.625,tanh,relu,tanh,tanh,0.3,adam
