round_epochs,loss,acc,val_loss,val_acc,activation1,activation2,activation3,activation4,dropout,optimizer
30,0.4309135675430298,0.7900000214576721,0.6850579380989075,0.625,tanh,tanh,tanh,relu,0.1,sgd
30,0.01196767296642065,1.0,1.0978803634643555,0.8125,tanh,tanh,tanh,relu,0.3,adam
30,0.41590145230293274,0.7900000214576721,0.9319115877151489,0.5,tanh,tanh,tanh,relu,0.3,sgd
30,0.10032816976308823,0.9750000238418579,1.3648393154144287,0.6875,tanh,tanh,tanh,relu,0.5,adam
30,0.4479129910469055,0.7900000214576721,0.9044067859649658,0.5,tanh,tanh,tanh,relu,0.5,sgd
30,0.00408524926751852,1.0,1.1359272003173828,0.75,tanh,tanh,tanh,tanh,0.1,adam
30,0.38004928827285767,0.8700000047683716,0.6506814956665039,0.625,tanh,tanh,tanh,tanh,0.1,sgd
30,0.005267373286187649,1.0,0.9686089158058167,0.8125,tanh,tanh,tanh,tanh,0.3,adam
30,0.406099408864975,0.8149999976158142,0.8565505743026733,0.625,tanh,tanh,tanh,tanh,0.3,sgd
30,0.007286432199180126,1.0,1.019498586654663,0.8125,tanh,tanh,tanh,tanh,0.5,adam
30,0.3690257966518402,0.8450000286102295,1.0402178764343262,0.5625,tanh,tanh,tanh,tanh,0.5,sgd
