round_epochs,loss,acc,val_loss,val_acc,activation1,activation2,activation3,activation4,dropout,optimizer
30,0.09795884788036346,0.9800000190734863,0.723544716835022,0.6875,relu,relu,relu,relu,0.1,adam
30,0.5654632449150085,0.7400000095367432,0.7773028016090393,0.5,relu,relu,relu,relu,0.1,sgd
30,0.09933673590421677,0.9750000238418579,1.0915379524230957,0.625,relu,relu,relu,relu,0.3,adam
30,0.5678700804710388,0.7400000095367432,0.8350398540496826,0.5,relu,relu,relu,relu,0.3,sgd
30,0.15982621908187866,0.9300000071525574,0.8760032653808594,0.75,relu,relu,relu,relu,0.5,adam
30,0.5684508681297302,0.7400000095367432,0.8188395500183105,0.5,relu,relu,relu,relu,0.5,sgd
30,0.08846988528966904,0.9649999737739563,0.29564034938812256,0.875,relu,relu,relu,tanh,0.1,adam
30,0.4987306296825409,0.7599999904632568,0.94016432762146,0.5,relu,relu,relu,tanh,0.1,sgd
30,0.05078588426113129,0.9850000143051147,0.4065200686454773,0.875,relu,relu,relu,tanh,0.3,adam
30,0.4948912560939789,0.7450000047683716,0.6335642337799072,0.625,relu,relu,relu,tanh,0.3,sgd
30,0.07324390858411789,0.9750000238418579,0.7591409087181091,0.625,relu,relu,relu,tanh,0.5,adam
30,0.5361188650131226,0.7400000095367432,0.8823456764221191,0.5,relu,relu,relu,tanh,0.5,sgd
30,0.005373159423470497,1.0,0.7545771598815918,0.75,relu,relu,tanh,relu,0.1,adam
30,0.5278816223144531,0.7400000095367432,0.8164752721786499,0.5,relu,relu,tanh,relu,0.1,sgd
30,0.02349790371954441,0.9950000047683716,0.7701751589775085,0.75,relu,relu,tanh,relu,0.3,adam
30,0.5069518685340881,0.7450000047683716,0.7085021138191223,0.5,relu,relu,tanh,relu,0.3,sgd
30,0.08810912817716599,0.9649999737739563,0.9161564707756042,0.6875,relu,relu,tanh,relu,0.5,adam
30,0.5569201111793518,0.7400000095367432,0.8063621520996094,0.5,relu,relu,tanh,relu,0.5,sgd
30,0.003909474238753319,1.0,0.7654474973678589,0.8125,relu,relu,tanh,tanh,0.1,adam
30,0.4748407304286957,0.7599999904632568,0.7439347505569458,0.5625,relu,relu,tanh,tanh,0.1,sgd
30,0.0038364676292985678,1.0,1.0238434076309204,0.8125,relu,relu,tanh,tanh,0.3,adam
30,0.5243422985076904,0.7400000095367432,1.0697358846664429,0.5,relu,relu,tanh,tanh,0.3,sgd
30,0.030856037512421608,0.9850000143051147,0.5486376285552979,0.875,relu,relu,tanh,tanh,0.5,adam
30,0.5240079760551453,0.7400000095367432,0.9727957248687744,0.5,relu,relu,tanh,tanh,0.5,sgd
30,0.043606940656900406,0.9900000095367432,0.779017448425293,0.75,relu,tanh,relu,relu,0.1,adam
30,0.5442702770233154,0.7400000095367432,0.785171389579773,0.5,relu,tanh,relu,relu,0.1,sgd
30,0.049386534839868546,0.9850000143051147,0.6450556516647339,0.75,relu,tanh,relu,relu,0.3,adam
30,0.5330909490585327,0.7549999952316284,0.7535355091094971,0.5,relu,tanh,relu,relu,0.3,sgd
30,0.11082881689071655,0.9599999785423279,0.5066518783569336,0.8125,relu,tanh,relu,relu,0.5,adam
30,0.5502352714538574,0.7400000095367432,0.7816797494888306,0.5,relu,tanh,relu,relu,0.5,sgd
30,0.019552020356059074,0.9900000095367432,0.32259589433670044,0.875,relu,tanh,relu,tanh,0.1,adam
30,0.5175127983093262,0.7400000095367432,1.0276542901992798,0.5,relu,tanh,relu,tanh,0.1,sgd
30,0.006914796773344278,1.0,0.4977094531059265,0.8125,relu,tanh,relu,tanh,0.3,adam
30,0.5233013033866882,0.7400000095367432,0.7554072737693787,0.5,relu,tanh,relu,tanh,0.3,sgd
30,0.006826821714639664,1.0,0.7371724247932434,0.6875,relu,tanh,relu,tanh,0.5,adam
30,0.5043424963951111,0.7549999952316284,0.7413716316223145,0.5,relu,tanh,relu,tanh,0.5,sgd
30,0.010601440444588661,1.0,0.35374578833580017,0.9375,relu,tanh,tanh,relu,0.1,adam
30,0.5239973068237305,0.7400000095367432,0.7183183431625366,0.5,relu,tanh,tanh,relu,0.1,sgd
30,0.020878607407212257,0.9950000047683716,0.26172083616256714,0.9375,relu,tanh,tanh,relu,0.3,adam
30,0.49490654468536377,0.75,0.7224794626235962,0.5,relu,tanh,tanh,relu,0.3,sgd
30,0.09593766927719116,0.9700000286102295,0.8143449425697327,0.75,relu,tanh,tanh,relu,0.5,adam
30,0.5563520193099976,0.7400000095367432,0.8132414221763611,0.5,relu,tanh,tanh,relu,0.5,sgd
30,0.005297746043652296,1.0,0.5876851677894592,0.75,relu,tanh,tanh,tanh,0.1,adam
30,0.4634666442871094,0.7599999904632568,0.646641731262207,0.625,relu,tanh,tanh,tanh,0.1,sgd
30,0.002446830505505204,1.0,0.655421793460846,0.75,relu,tanh,tanh,tanh,0.3,adam
30,0.44881394505500793,0.824999988079071,0.7327423691749573,0.625,relu,tanh,tanh,tanh,0.3,sgd
30,0.0225012619048357,0.9950000047683716,0.3843545615673065,0.9375,relu,tanh,tanh,tanh,0.5,adam
30,0.47104430198669434,0.7599999904632568,0.7110971808433533,0.625,relu,tanh,tanh,tanh,0.5,sgd
30,0.03917546570301056,0.9900000095367432,0.2865557372570038,0.9375,tanh,relu,relu,relu,0.1,adam
30,0.5029704570770264,0.75,0.9040929079055786,0.5,tanh,relu,relu,relu,0.1,sgd
30,0.13802450895309448,0.9350000023841858,0.7901445031166077,0.8125,tanh,relu,relu,relu,0.3,adam
